Specimen Code,Species,County,Date Found,Test Result
NY.215758.1,Bald Eagle,Orange County,11/2/2024,Negative
NY.215727.1,Bald Eagle,Jefferson County,11/4/2024,Negative
NY.215718.1,Bald Eagle,Tioga County,11/6/2024,Negative
NY.215722.1,Great Horned Owl,Seneca County,11/6/2024,Negative
NY.215804.1,Red Fox,Queens County,11/6/2024,Negative
NY.215742.1,Eastern Screech-Owl,Livingston County,11/7/2024,Negative
NY.215759.1,Barred Owl,Orange County,11/7/2024,Negative
NY.215726.1,Bald Eagle,Columbia County,11/8/2024,Negative
NY.215816.1,Bald Eagle,Chemung County,11/9/2024,Negative
NY.215737.1,Bald Eagle,Oswego County,11/9/2024,Negative
NY.215746.1,Red-Tailed Hawk,Saratoga County,11/9/2024,Negative
NY.215816.1,Bald Eagle,Chemung County,11/9/2024,Negative
NY.215795.1,Bald Eagle,Oneida County,11/9/2024,Negative
NY.215810.1,Merlin,Suffolk County,11/10/2024,Preliminary Positive
NY.215729.1,Red-Tailed Hawk,Saratoga County,11/10/2024,Negative
NY.215830.1,Peregrine Falcon,New York County,11/12/2024,Negative
NY.215741.1,Red-Tailed Hawk,Wayne County,11/13/2024,Negative
NY.215760.1,Cooper's Hawk,Cortland County,11/14/2024,Negative
NY.215841.1,Eastern Gray Squirrel,Albany County,11/15/2024,Preliminary Positive
NY.215798.1,Bald Eagle,Delaware County,11/17/2024,Preliminary Positive
NY.215764.1,Snowy Owl,Wayne County,11/19/2024,Preliminary Positive
NY.215751.1,Sharp-Shinned Hawk,Dutchess County,11/19/2024,Negative
NY.215785.1,European Starling,Richmond County,11/19/2024,Negative
NY.215775.1,Bald Eagle,Westchester County,11/20/2024,Preliminary Positive
NY.215782.1,Bald Eagle,Ontario County,11/27/2024,Negative
NY.215833.1,Red-Tailed Hawk,New York County,11/29/2024,Negative
NY.215887.1,Bald Eagle,Chenango County,12/3/2024,Negative
NY.215987.1,Cooper's Hawk,Kings County,12/3/2024,Negative
NY.215851.1,Red-Tailed Hawk,Rensselaer County,12/3/2024,Negative
NY.215887.1,Bald Eagle,Chenango County,12/3/2024,Negative
NY.215811.1,Great Horned Owl,Suffolk County,12/3/2024,Preliminary Positive
NY.215987.1,Cooper's Hawk,Kings County,12/3/2024,Negative
NY.215851.1,Red-Tailed Hawk,Rensselaer County,12/3/2024,Negative
NY.216146.1,Bald Eagle,Essex County,12/5/2024,Pending
NY.215809.1,Eastern Screech-Owl,Suffolk County,12/6/2024,Negative
NY.215832.1,Red-Tailed Hawk,New York County,12/7/2024,Negative
NY.215812.1,Short-Eared Owl,Onondaga County,12/10/2024,Negative
NY.215850.1,Northern River Otter,Washington County,12/10/2024,Negative
NY.215850.1,Northern River Otter,Washington County,12/10/2024,Negative
NY.215870.1,Great Horned Owl,Erie County,12/12/2024,Negative
NY.215870.1,Great Horned Owl,Erie County,12/12/2024,Negative
NY.215814.1,Snow Goose,Ontario County,12/14/2024,Preliminary Positive
NY.215848.1,American Crow,Washington County,12/18/2024,Negative
NY.215848.1,American Crow,Washington County,12/18/2024,Negative
NY.215835.1,Cooper's Hawk,Cayuga County,12/20/2024,Preliminary Positive
NY.215836.1,Peregrine Falcon,Cortland County,12/20/2024,Preliminary Positive
NY.215837.1,Raccoon,Albany County,12/21/2024,Negative
NY.215839.1,Snow Goose,Tompkins County,12/22/2024,Preliminary Positive
NY.215853.1,Cooper's Hawk,Tompkins County,12/23/2024,Negative
NY.215840.1,Coyote,Columbia County,12/23/2024,Pending
NY.215838.1,Mallard,Albany County,12/23/2024,Preliminary Positive
NY.215883.1,Herring Gull,Livingston County,12/25/2024,Negative
NY.215885.1,Snowy Owl,Jefferson County,12/26/2024,Preliminary Positive
NY.215988.1,Red-Tailed Hawk,New York County,12/26/2024,Negative
NY.215907.1,Cooper's Hawk,Suffolk County,12/26/2024,Negative
NY.215907.1,Cooper's Hawk,Suffolk County,12/26/2024,Negative
NY.215988.1,Red-Tailed Hawk,New York County,12/26/2024,Negative
NY.215845.1,Mute Swan,Onondaga County,12/27/2024,Negative
NY.215847.1,Bald Eagle,Schenectady County,12/27/2024,Negative
NY.215847.1,Bald Eagle,Schenectady County,12/27/2024,Negative
NY.215843.1,Barred Owl,Westchester County,12/30/2024,Negative
NY.216100.1,Barred Owl,Saratoga County,12/30/2024,Negative
NY.215879.1,Bald Eagle,Putnam County,12/31/2024,Negative
NY.216031.1,Bald Eagle,Cayuga County,12/31/2024,Preliminary Positive
NY.215903.1,Red-Tailed Hawk,Nassau County,12/31/2024,Preliminary Positive
NY.215849.1,Great Blue Heron,Saratoga County,12/31/2024,Negative
NY.216031.1,Bald Eagle,Cayuga County,12/31/2024,Preliminary Positive
NY.215903.1,Red-Tailed Hawk,Nassau County,12/31/2024,Preliminary Positive
NY.215879.1,Bald Eagle,Putnam County,12/31/2024,Negative
NY.215849.1,Great Blue Heron,Saratoga County,12/31/2024,Pending
NY.215855.5,Canada Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.7,Muskrat,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.6,Snow Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.1,Canada Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.4,Canada Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.3,Canada Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215855.2,Canada Goose,Saratoga County,1/1/2025,Preliminary Positive
NY.215854.1,Red-Tailed Hawk,Albany County,1/2/2025,Negative
NY.215856.1,Red-Tailed Hawk,Montgomery County,1/3/2025,Preliminary Positive
NY.215891.1,Canada Goose,Onondaga County,1/3/2025,Negative
NY.215857.1,Snow Goose,Chautauqua County,1/3/2025,Preliminary Positive
NY.215859.1,Canada Goose,Suffolk County,1/3/2025,Preliminary Positive
NY.215874.1,Snow Goose,Ontario County,1/3/2025,Preliminary Positive
NY.215891.2,Canada Goose,Onondaga County,1/3/2025,Preliminary Positive
